,artist,title,art_type,tech,movement,image,text
0,민화 호작도,,수묵채색화,종이에 수묵담채(Ink and color on paper),,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_58%2F20141007112731618_MSKHCVP6Q.jpg%2F114_11400.jpg%3Ftype%3Dw690_fst%26wm%3DN%22&twidth=265&theight=530&opts=17,"호작도란 서낭신의 사자인 까치가 호랑이에게 신탁(神託)을 전하는 모습을 그린 작품으로, 일반적인 호작도는 해학적인 표정과 단순한 동세를 지닌 호랑이를 그리곤 하는데 위 작품의 경우 당당하고 맹렬한 본연의 모습이 더 부각되어 있다. 크게 몸을 비틀어 소나무와 엉켜 나무밑둥을 물고 있는 형상의 S자형 구도로 호랑이의 용맹함이 더욱 돋보인다. 화폭에 나타나는 표현기법 또한 다양한데, 털을 세필로 섬세하게 표현한 것과는 대조적으로 좌우에 배치된 까치와 소나무를 농묵으로 힘 있게 그려 구성간의 관계를 더욱 조화롭게 해주고 있다. 길조의 상징인 까치와 영험한 동물인 호랑이 그림을 걸어둠으로서 고단한 민생의 근심을 덜고자 했던 선조들의 염원을 느낄 수 있는 작품이다. "
1,부춘산거도,황공망,중국 회화,종이에 수묵,,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_93%2F20141110134916041_8LBMQL4LZ.jpg%2F2011021819004391.jpg%3Ftype%3Dw690_fst%26wm%3DN%22&twidth=690&theight=483&opts=17,
2,조춘도,곽희,중국 회화,비단에 수묵담채,,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_93%2F20141110133656065_YLHDBZP0P.jpg%2F2011021818564694.jpg%3Ftype%3Dw690_fst%26wm%3DN%22&twidth=362&theight=530&opts=17,
3,"수드라 (인도 4계급 중 하나, 하인)",프란츠 발타자르 솔빈스,인도/이슬람미술,,,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_8%2F20140919103746456_1D3SLY1EJ.jpg%2F03-017038.jpg%3Ftype%3Dw690_fst_n%26wm%3DY%22&twidth=359&theight=530&opts=17,
4,인간의 형상을 한 신화속 동물,,동아시아미술,"세밀화 (회화), 물감(miniature (peinture), gouache)",,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_8%2F20140919125249090_Z02U2R0KY.jpg%2F85-001168.jpg%3Ftype%3Dw690_fst_n%26wm%3DY%22&twidth=415&theight=530&opts=17,
5,제사 음식 준비,,동아시아미술,"세밀화 (회화), 물감(miniature (peinture), gouache)",,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_8%2F20140919130532748_SXMYSPL2U.jpg%2F85-001170.jpg%3Ftype%3Dw690_fst_n%26wm%3DY%22&twidth=411&theight=530&opts=17,
6,매,김득신,수묵채색화,비단에 수묵채색(Ink and color on silk),,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_58%2F20141007121419284_RR3ASAVRU.jpg%2F1160008100.jpg%3Ftype%3Dw690_fst%26wm%3DN%22&twidth=241&theight=530&opts=17,"곁가지 앙상한 고목가지 위로 발톱을 잔뜩 웅크린 매 한 마리가 도약 직전 몸을 앞으로 뉘이고 있다. 지면의 사냥감을 포착했는지 매서운 눈빛은 더 빛을 발하고 젖혀진 날개는 금세라도 화면을 뒤덮을 기세다. 나뭇가지를 ‘S’자로 뻗어 내리면서 화면을 적절히 분할시켜주고 수묵에 농담을 줌으로서 강약의 조화를 이뤘다. 매는 눈과 깃털에 적정의 색을 얹었을 뿐 과하지 않고 오히려 세필묘사에 충실해 시선을 집중시킨다. 나뭇가지 끝자락 여백에 써내려간 화재는 그 배치의 탁월함으로 작품에 방점을 찍는다. 좁지 않은 화폭에 나뭇가지와 매 두 가지 소재로 왜 긍재가 당대의 으뜸, 삼재의 일원이었는가를 여실히 보여주는 작품이다."
7,옹정 황제의 초상,,동아시아미술,비단 (회화)(soie (peinture)),,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_8%2F20140919145204108_5TA2QRYUV.jpg%2F06-504812.jpg%3Ftype%3Dw690_fst_n%26wm%3DY%22&twidth=490&theight=530&opts=17,
8,인도 여자,,인도/이슬람미술,"종이 위 인화, 알부민과 염화나트륨 용액을 칠한 기법(épreuve sur papier albuminé)",,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_8%2F20140919145235403_6SMEX9H57.jpg%2F07-532250.jpg%3Ftype%3Dw690_fst_n%26wm%3DY%22&twidth=420&theight=530&opts=17,
9,노안도,조석진,수묵화,지본수묵(紙本水墨)(encre noire sur papier),,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_18%2F20140923112147305_4ZQDYFTWU.jpg%2FKF05-003.jpg%3Ftype%3Dw690_fst_n%26wm%3DY%22&twidth=264&theight=530&opts=17,"노안도(蘆雁圖)라는 그림의 형식은 조선 말기부터 근대에 이르기까지 모든 화가들이 즐겨 그리는 주제 중의 하나이다. 특히 근대화가들이 그린 노안도(蘆雁圖)의 구도가 거의 원형구도를 잡고 있는데, 이것은 오원(吾園) 장승업(張承業)의 노안도(蘆雁圖) 구도에서도 그러한 점이 두드러지게 보이고 있다. 그러나 본은 같으나 화가마다 다소의 차이가 있는 것은 물론이다.소림(小琳)의 이 그림은 1910년에 그린 수묵화(水墨畵)로서 농묵(濃墨)을 듬뿍 찍어 거침없이 휘두른 붓길에서 은연중 스승인 오원(吾園)의 화풍이 스며 나오고 있다. 화면 왼편에서 오른편으로 갈대숲을 뻗치게 하여 화면을 구분하고 전면에는 두 마리의 앉아 있는 기러기를 크게 그려 배치함으로써 안정감을 주고 그 위에 네 마리의 기러기가 이제 막 비상을 끝내고 목을 길게 뽑으면서 날아 앉으려는 형상으로 채웠다.많은 화가들이 「갈대와 기러기」라는 주제를 다루고 있는데, 왜 그들이 이 주제에 그렇게도 매혹되어 있는지 그 이유는 정확히 모르겠으나, 추측컨대 지성인의 차원 높은 서정과 이념세계를 조형적으로 나타내는데 많은 공감을 자아내었던 것이 아닐까 한다."
10,민화 송하호작도,,수묵채색화,종이에 수묵채색(Ink and color on paper),,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_58%2F20141007110320145_7H06LN1LG.jpg%2Fnaver0022.jpg%3Ftype%3Dw690_fst%26wm%3DN%22&twidth=362&theight=530&opts=17,"호작도는 까치와 호랑이가 항상 함께 등장하며 하나의 유형화된 양상을 보이고 있기 때문에 붙은 이름이다. 까치는 기쁜 소식을 전해 주는 길조이자 인간의 길흉화복을 좌우하는 신의 사자로, 호랑이는 신의 역할을 대신하는 동물로 여겼다. 정월을 뜻하는 소나무가 함께 있어 새해를 맞아 기쁜 소식이 들어온다는 뜻도 함께 들어있다. 위 작품은 익살스러운 표정의 호랑이가 까치와 얼굴을 마주하고 앉아있는 상황을 그려냈는데 호랑이의 다리와 꼬리를 둥글게 말아 시선을 집중시키고 문양의 반복으로 해 학적인 멋을 자아낸다. 때로는 구도가 제대로 맞지 않거나, 호랑이 모습이 얼굴에 가면을 뒤집어쓴 듯 어색한 모습으로 보이기도 하지만, 이것이 우리 민중의 그림인 민화중에서도 가장 독특한 양식을 보이는 호작도의 모습이다."
