,artist,title,art_type,tech,movement,image,text
0,압구정,정선,수묵채색화,견본채색,,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_93%2F20141111221814820_Q2GWSKSQH.jpg%2F2014071012020641.jpg%3Ftype%3Dw690_fst%26wm%3DN%22&twidth=690&theight=448&opts=17,"지금 현대아파트, 한양아파트 등 고층 아파트들이 숲을 이루고 있는 강남구 압구정동 일대의 본 모습이다. 잠실 쪽에서 서북으로 흘러오던 한강 줄기가 꺾어져 서남으로 흘러가는데 그 물모룽이를 이루는 언덕 위에 높이 세워진 것이 압구정이다. 압구정에 올라서면 한양 서울을 둘러싸고 있는 명산들을 한눈에 조망할 수 있었다. 이 그림에서도 압구정동 일대와 강 건너 옥수동, 금호동 일대가 한눈에 다 보인다. 그 뒤로 보이는 짙은 초록빛 산은 남산이고, 멀리로는 삼각산 연봉들이 아스라이 펼쳐져 있다. 압구정 뒤로 보이는 원산은 청계산과 우면산일 것이다. 경치가 이토록 빼어난 곳이니 역대 권문세가들이 항상 이곳을 탐내어 별장을 짓고자 했다. 압구정을 처음 지은 사람은 한명회였다. 그는 수양대군의 심복이 되어 간교한 꾀로 김종서와 안평대군 등 조정대신과 왕자들을 죽이고 수양대군으로 하여금 어린 조카 단종으로부터 왕위를 빼앗게 한 장본인이다. 세조와 성종대를 거치며 최고의 권신으로 세상을 농락하던 한명회는 만년에 이곳에 별장을 짓고 명나라 문인 예겸에게 압구정, 즉 '갈매기와 친하게 지내는 정자'라는 뜻의 이름을 받는다. 이 그림에서도 제법 규모가 큰 정자가 언덕 위에 덩그렇게 지어져 있는데, 이 그림이 그려지던 때는 누가 압구정의 주인이었던지 확실치 않다. 압구정이 서있는 높은 언덕 아래 층층이 이어진 강변구릉 위로는 기와집과 초가집들이 마을을 이루듯 들어서 있다.이 중에는 당시 서울 대가집들의 별장이 상당수 섞여 있을 것이다. 싱그러운 초여름 어느 맑은 날에 그린 듯, 산과 나무가 온통 청록빛으로 물들어 있다. 맑고 상쾌한 초여름 강변의 계절감을 화사한 색채와 담백한 필치로 잘 묘사했다. 대담한 구도와 굳센 필치로 활달한 기상을 드러내던 겸재의 금강산과는 또 다른 매력을 지니고 있다. 겸재가 65세 무렵에 그린 그림으로 겸재의 다양한 화풍을 엿볼 수 있다. 화면 우측 상단에는 ‘천금물전’ 즉, ‘천금을 주더라도 남에게 주지 말라’ 는 내용의 도장이 찍혀 있다. 겸재가 찍은 것인지, 아니면 후대 이 그림을 소장하고 있던 사람이 찍은 것인지는 확실하지 않지만, 이 그림을 얼마나 아끼고 사랑했는지를 짐작할 수 있다."
1,단원풍속도첩 중 씨름,김홍도,수묵채색화,지본담채(紙本淡彩)(ink and slight color on paper),,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_18%2F20140923113932598_J7V3IM95F.jpg%2Fkc-01-020.jpg%3Ftype%3Dw690_fst_n%26wm%3DY%22&twidth=454&theight=530&opts=17,"단원(檀園)의 화재(畵才)는 정형산수나 인물화에서보다도 사경산수화(寫景山水畵)와 풍속화의 세계에서 독창적인 필선과 구도, 색채와 조형감을 뛰어나게 표현하고 있다. 18세기 후반인 영(英) · 정조(正祖) 연간은 시대의 영향에 따라 문물(文物)이 한국화로 진행되고 서민의 사회적 지위가 복종만에서 새로운 면으로 발전했으며 그러한 사조의 영향을 받아 회화에 있어서도 서민사회에 안목을 두게 되어 그 소산물로 세속의 주제들을 화폭에 담은 「풍속화(風俗畵)」가 회화의 한 장르로 등장하게 되었다. 단원(檀園)은 서민들의 생업에서 오는 즐거움을 힘차고 해학적(諧謔的)으로 다루는 데 명수이다.이 《씨름》은 상하 2단으로 관객을 배치한 중심부에 맞붙은 씨름꾼을 배치한 원형구도이다. 좌우의 공간을 고조된 경기 분위기와는 아랑곳없는 엿장수와 벗어 놓은 신발짝으로 허전한 공간을 메운 것은 여운의 조화와 화면의 안정감을 주기 위한 것으로 보이며 흥분과 조바심 속에 서민의 해학이 밀려드는 역동감이나 생활풍정은 단원(檀園)의 서민적 감흥의 깊이를 단적으로 표현한 솜씨라 하겠다."
2,세한도,김정희,수묵화,지본묵화(紙本墨畵)(ink on paper),,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_18%2F20140923120140521_PZGF68PV8.jpg%2F%25EC%2582%25AC%25EB%25B3%25B8.jpg%3Ftype%3Dw690_fst_n%26wm%3DY%22&twidth=690&theight=264&opts=17,"김정희(金正喜)는 1786년(정조(正祖)10년)에 경주김씨(慶州金氏) 집안에서 태어나 1856년(철종(哲宗)7년)에 세상을 떠났다. 자(字)는 원춘(元春), 호(號)는 추사(秋史) 또 완당(院堂)이며 그 밖에도 그가 서화(書畵)에 사용한 낙관(落款)이 예당(禮堂) · 과파(果坡) · 동국유생(東國儒生) · 동이문인(東夷文人) 등의 백 수십여 개가 된다. 그는 일찍이 열혈 북학파(北學波)인 초정(楚亭) 박제가(朴齊家)(1750~1815, 《북학의(北學議)》의 저자)에게서 학문을 배웠고 1819년에 식년문과(式年文科)에 급제, 규장각(奎章閣) 대교(待敎)를 거쳐 벼슬이 성균관대사성(成均館大司成 )에 이르렀다. 어려서부터 뛰어난 재능을 보인 완당(阮堂)은 북학(北學)에 뜻을 두고 24세 때 동지부사(冬至副史)인 아버지 김노경(金魯敬)을 따라 연경(燕京)에 가서 당대 연경 학계의 거유(巨儒)인 완원(阮元) · 옹방망(翁方網) 등과 교우하면서 청조(淸朝) 고증학(考證學)의 의발(衣鉢)을 전수하는 등, 신학문에 눈을 뜨게 되었다.이 《세한도(歲寒圖)》는 완당(阮堂)이 1840년(헌종(憲宗)6년)에 윤상도(尹尙度)의 투옥 사건에 관련되어 제주도(濟州道)에서 귀양살이를 하던 59세 때(1844년)의 작품으로서, 당시 청(淸)의 연경(燕京)에서 유학하고 있던 제자 이상적(李尙迪)에게 그려 보낸 일품이다. 우선(藕船) 이상적(李尙迪)이 권세를 따르는 세속과는 달리 문하의 구의(舊宜)를 잊지 않고 궁경(窮境)의 완당(阮堂)에게 정의(情宜)를 다하는 데 감격해서 세한(歲寒)(겨울에 홀로 푸른 소나무)에 비유한 그림이다. 이 《세한도(歲寒圖)》야 말로 그 화격이나 고고한 필의로 보아 조선왕조 500년의 걸작으로 꼽힐 만하다. 그는 자제(自題)에 다음과 같이 썼다.거년이만학대운이서기내 금년우이우?문편기내 차개비세지상유 구지천만리지원 적유년 이득지 비일시지사야차세지도도 유권이지시 추 위지비심비력여차 이불이귀지권리 내귀지해외초래고고지인 여세지추권리자 태사공운 「이권리합자 권리진 이교?」 군역세지도도중일인 기유초연 자발어도도권리지외 불이권리시아야 태사공지언 비야 공자왈 세한연후 지송백지후조 송백시관사시이불조자세한이전일송백야 세한이후일송백야 성인특칭지어세한지후 금군지어아유전이무가언 유후이무손언 연유전지군 무가칭 유후지군역 가견칭어성인야야 성인지특칭 비도위후조지정조경절이사 역유소감발어세한지시자야 오호 서경순후지세 이 급 정 지현빈객흥지 성쇠 여하비구문 박절지극의 비부 완당노인서.(去年以晩學大雲二書寄來 今年又以藕?文編寄來 此皆非世之常有 購之千萬里之遠 積有年 而得之 非一時之事也且世之滔滔 惟權利之是 趨 爲之費心費力如此 而不以歸之權利 乃歸之海外蕉萊枯槁之人 如世之趨權利者 太史公云 「以權利合者 權利盡 而交??」君亦世之滔滔中一人 其有超然 自抜於滔滔權利之外 不以權利視我耶 太史公之言 非耶 孔子曰 歲寒然後 知松栢之後凋 松栢是貫四時而不凋者歲寒以前一松栢也 歲寒以後一松栢也 聖人特稱之於歲寒之後 今君之於我由前而無可焉 由後而無損焉 然由前之君 無可稱 由後之君亦 可見稱於聖人也耶 聖人之特稱 非徒爲後凋之貞操勁節而巳 亦有所感發於歲寒之時者也 嗚呼 西京淳厚之世 以 汲 鄭 之賢賓客興之 盛衰 如下邳構門 迫切之極矣 悲夫 阮堂老人書)"
3,초충도,신사임당,수묵채색화,지본설채(紙本設彩)(ink and color on paper),,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_18%2F20140923114752361_WWTQ4SN7J.jpg%2FKF01-007.jpg%3Ftype%3Dw690_fst_n%26wm%3DY%22&twidth=367&theight=530&opts=17,"율곡(栗谷) 이이(李珥)의 어머니 되는 사임당(思任堂) 신부인(申夫人)은 1504년(연산군(燕山君)10년)에 나서 1551년(명종(明宗)6년) 48세로 별세했다. 율곡(栗谷) 이이(李珥)의 선비행상(「先妣行狀」)에서 「유시(幼時)에 경전(經典)을 통하고, 글짓기에 능하고 농필(弄筆)을 잘하고, 또 침선(針線) 자수(刺繡)에 이르기까지 정묘(精妙)치 않은 것이 없으셨다. 7세로부터 안견(安堅)의 그림을 모방하여 산수화(山水畵)를 치고, 초충(草蟲) · 영모(翎毛) · 포도(葡萄)를 잘 그려 세상에서 적수가 없었다」(율곡선생문집(栗谷先生文集))라고 하였다. 우암(尤庵) 송시열(宋時烈)은 신부인(申夫人)의 《추초군접도(秋草群蝶圖)》에 제(題)하기를, 「이는 증찬성(贈贊成) 이공(李公)(원수(元秀))의 부인 신씨(申氏)의 소작(所作)이다. 지하(指下)에 나타난 그것만도 오히려 쇄연천성(灑然天成)하여 인력(人力)으로는 범치 못할 듯함이 이와 같거든, 하물며 오행(五行)의 정수(精秀)를 타고 원기(元氣)의 융화(融化)를 모아 써 조화를 이룸에랴, 마땅히 율곡선생(栗谷先生)을 낳으실 만하다」라고 하였다.신부인(申夫人)의 그림은 그 행적과 더불어 당시서부터 크게 성명을 떨쳐서 풀벌레 · 포도는 물론, 여류풍(女流風)의 그림은 모두 신부인(申夫人)의 소작으로 위탁한 까닭으로 오늘날 전해지는 작품은 소품의 화본 그림이지만 상당한 기량을 표시하고 있다."
4,", 《혜원 전신첩》",신윤복,수묵채색화,지본채색(紙本彩色),,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_18%2F20140923114048777_4BKUNSU34.jpg%2F17.%2B%25EC%259B%2594%25ED%2595%2598.jpg%3Ftype%3Dw690_fst%26wm%3DN%22&twidth=651&theight=530&opts=17,"눈썹달이 침침하게 내리 비치고 있는 야밤중에 등불을 비춰 든 선비 차림의 젊은이가 쓰개치마를 둘러 쓴 여인과 담모퉁이를 돌아가고 있다. 이들이 어떤 사이이며 어디로 가는지 알 수 없지만, 호젓한 곳에서 남의 눈을 피하여 은밀히 만나야 하는 사람들인 것만은 틀림이 없는 듯하다.예법을 생명으로 알던 왕조귀족들로서 비록 그 상대가 노는 여자라 할지라도 아직 새파란 나이의 젊은이가 내놓고 여자와 만나 노는 것을 결코 용납하지는 않았을 것이다. 그래서 층층시하에 있는 젊은 선비가 어른들의 눈을 피하여 집을 빠져 나오느라 이렇게 밤 깊어서야 만난 모양이다.여인은 밤이 늦어서야 나타난 사나이가 야속하다는 듯 여간 새침을 떨지 않으니 답답한 남자는 무엇으로나 달래 보려는 듯 품속을 더듬어 찾고 있는 것 같다. 그러나 서로 안타까워하는 마음이야 두 사람이 어찌 각각 모를 리가 있겠는가. 만난 일이 반가워서 벌이는 실랑이일 뿐이다.그래서 화제(畵題)에 “달빛이 침침한 한밤중에, 두 사람의 마음은 두 사람만이 안다.(月沈沈夜三更, 兩人心事兩人知.)”라고 하였으니, 어느 시대 어느 곳에서도 이런 애틋한 사랑은 있게 마련인가 보다."
5,", 《혜원 전신첩》",신윤복,수묵채색화,지본채색(紙本彩色),,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_18%2F20140923114049487_C795WJ1C3.jpg%2F16.%2B%25EB%258B%25A8%25EC%2598%25A4.jpg%3Ftype%3Dw690_fst%26wm%3DN%22&twidth=654&theight=530&opts=17,"이 그림은 단옷날 추천(鞦韆: 그네타기)놀이를 나온 한 떼의 여인네들이 시냇가에 그네를 매고 냇물에 몸을 씻으며 즐기는 장면을 묘사한 것이다. 그넷줄을 드리울만한 거목이 있고 맑은 물이 굽이쳐 흐르는 곳이라면 당시의 서울에서야 얼마든지 있었을 것이다. 지금의 정릉(貞陵)이나 성북동(城北洞) 골짜기는 물론이고 삼청동(三淸洞)이나 인왕산(仁王山) 계곡을 비롯하여 남산(南山)이나 낙산(駱山) 주변의 여러 골짜기들이 이런 놀이에 적합했을 테니 말이다.여기가 어느 곳인지는 모르겠으나, 당시로서는 퍽 깊은 계곡이어서 인적이 끊어진 후미진 곳이었기에 여인네들이 마음 놓고 의복을 훌훌 벗어 던지고 냇물에 들어가서 물놀이를 즐길 수 있었을 것이다. 그러나 산에는 산에 사는 사람들이 있다. 바위틈에 숨어든 동자승 둘이서 이 기막힌 풍경에 희희낙락 즐거워 어쩔 줄 몰라 하니 민망하기 짝이 없다.그래서 혜원은 짐짓 화면의 초점을 딴 곳으로 옮기려고 그네 뛰는 여인에게 화려한 의상(衣裳)을 입히고, 머리 손질하는 여인에게는 엄청나게 큰 다리머리를 모두 풀어놓게 한 모양이다. 다홍치마에 반회장 노랑 저고리만으로도 지극히 선정적인 분위기를 자아내는데, 백설 같은 속곳들이 반 넘어 내 보이는 것은 반라의 여인들에게서보다 훨씬 더 짙은 감정을 느끼게 한다.앉은키보다도 더 큰 다리머리에서도 당시 사람들은 이와 같은 기분을 느낄 수 있었는지 모르겠다. 계집종인 듯한 여인이 유방을 드러내 놓은 채로 옷보따리를 이고 오는 것으로써 화면은 상하의 연결이 이루어져서 혼연(渾然)한 생동감을 불러일으킨다."
6,포도,신사임당,한국화,견본수묵(絹本水墨),,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_96%2F20141113225444915_JQALB4ICN.jpg%2F2014021115592865.jpg%3Ftype%3Dw690_fst%26wm%3DN%22&twidth=362&theight=530&opts=17,"신사임당(1504-1551)은 화조나 초충을 잘 그렸던 것으로 알려져 있지만, 실제 그녀가 살던 시기에는 그보다는 산수와 포도 그림으로 화명이 높았다. 율곡(栗谷) 이이(李珥, 1536-1584)가 지은 ｢선비행장(先妣行狀, 돌아가신 어머니 행장)｣에는 다음과 같은 내용이 실려 있다.“자당(慈堂)께서는 늘 묵적(墨迹)이 남다르셨다. 7세 때부터 안견(安堅, 1418-?)이 그린 것을 모방하여 드디어 산수도를 그리셨는데 지극히 신묘하였고, 또 포도를 그리셨다. 모두 세상이 흉내낼 수 없는 것으로 그리신 병풍과 족자가 세상에 널리 전해진다.(慈堂平日墨迹異常. 自七歲時, 倣安堅所畵, 遂作山水圖極妙, 又畵葡萄. 皆世無能擬者. 所模屛簇, 盛傳于世.)”그러나 초충이나 화조에 비하여 지금까지 남아 있는 사임당의 포도 그림은 지극히 드물다. 이 《포도》 정도가 회자될 뿐이다. 이 《포도》는 소위 《석농화첩(石農畵帖)》으로 불리는 《해동명화집(海東名畵集)》 속에 들어 있는 것으로 진경시대 후반기의 대수장가였던 석농(石農) 김광국(金光國, 1727-1797)이 수집한 그림이다. 석농은 ‘임자 윤달 15일에 월성(경주의 별명, 경주 김씨라는 의미) 김광국이 손을 씻고 삼가 배관한다.(壬子潤月之望, 月城金光國盥手敬觀.)’고 써 놓아 정조 16년(1792) 임자 윤 4월 15일에 이를 배관한 사실을 알 수 있다.그림이 다소 잘린 감이 없지 않지만, 화면의 중심선을 따라 줄기를 내려뜨리고 하단부에 넓은 잎과 큰 포도송이를 배치하여 안정된 구도를 취하였다. 짙고 옅은 먹을 적절히 구사하여 싱그럽게 익어가는 포도알의 양태를 실감나게 옮겨냈다. 또한 젊고 싱싱한 줄기는 진한 먹으로, 늙고 오래된 줄기는 옅은 먹으로 처리하여 사실성과 더불어 생동감과 변화감까지 잘 살려냈다. 먹으로만 그린 수묵화임에도 포도의 외양과 풍취가 생생하게 전해온다. 전문화가 못지않은 숙련된 솜씨로 이정도면 당대 최고의 필력과 기량이라 해도 과언이 아니다.이 그림은 사임당의 대표작으로 알려져 있다. 현재 오만원권 지폐에 신사임당 초상 뒤에 도안화되어 들어가기도 했다. 그러나 사임당의 그림으로 전해오는 대개의 그림이 그렇듯이 이 작품에도 낙관이나 관지는 없다. 하지만 영조대 문인인 동계(東谿) 조구명(趙龜命, 1693-1737)이 지은 사임당을 기리는 글이 별지로 붙어 있고, 부드러운 필치와 담백하고 섬세한 묘사에서 여성적인 우아함이 느껴진다. 이런 까닭에 이 그림이 오랫동안 신사임당의 작품으로 수용되고 간직되었던 듯하다. 옛 사람들이 보고 싶어 하고, 기억하고 싶어 했던 사임당의 모습을 가늠할 수 있다는 것만으로도 이 《포도》의 가치는 충분하다."
7,마상청앵,김홍도,수묵채색화,지본담채,,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_93%2F20141110125227912_3RDL4APQJ.jpg%2F2014071014124232.jpg%3Ftype%3Dw690_fst%26wm%3DN%22&twidth=244&theight=530&opts=17,"마상청앵(馬上聽鶯: 말 위에서 꾀꼬리 소리 듣다.)녹음방초 무성하고 온갖 꽃이 만발하는 늦봄 어느 화창한 날에 젊은 선비가 문득 말에 올라 봄을 찾아 나섰다가 길가 버드나무 위에서 꾀꼬리 한 쌍이 화답하며 노니는 것에 넋을 빼앗긴 채 서서 바라보는 장면을 사생해 낸 그림이다. 버드나무는 간결하게 처리하여 한곁으로 몰아 놓고 선비 일행을 큰길 가운데로 내세운 채 나머지는 모두 하늘로 비워 둔 대담한 구도를 하고 있다.김홍도의 동갑내기 친구인 화원 이인문은 제화시를 다음과 같이 읊었다.“아리따운 사람이 꽃 밑에서 천 가지 소리로 생황을 부는 듯하고, 시인의 술동이 앞에 황금귤 한 쌍이 놓인 듯하다. 어지러운 금북이 버드나무 언덕 누비니, 아지랑이 비섞어 봄강을 짜낸다.”꾀꼬리를 바라보는 선비의 시선에 어울리게 잡은 구도와 제시의 글씨까지 농담을 적절히 섞어가며 사선의 화면 구도에 조화시켰다. 단원의 원숙한 필치와 천재적인 조형 감각을 엿볼 수 있는 그림으로 단원 풍속화를 대표할 만한 걸작이다."
8,황묘농접,김홍도,한국화,지본채색,,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_58%2F20141007212025520_CR34SC073.jpg%2F7.%25EA%25B9%2580%25ED%2599%258D.jpg%3Ftype%3Dw690_fst%26wm%3DN%22&twidth=690&theight=451&opts=17,"황묘농접(黃猫弄蝶: 노란 고양이가 나비를 놀리다)대지가 연록색풀로 가득 차고, 바위 밑에는 패랭이꽃이 활짝 피어났다. 봄과 여름이 교차하는 계절, 하늘과 땅이 모두 햇빛에 물들어 노란 기운이 감돈다. 화창한 전원의 봄날, 긴꼬리를 가진 검푸른 제비나비가 꽃을 보고 날아들었다. 봄빛을 닮은 주황빛 아기 고양이가 고개를 돌려 호기심에 가득한 눈으로 쳐다본다. 여차하면 발을 뻗어 잡아보려는 심산인데, 이를 알아챈 나비는 딱 도망가기 좋을 만큼의 거리를 두며 날고 있다. 그 모양새가 마치 고양이를 약 올리는 것 같아, 그림 제목도 “검은 나비가 고양이를 놀리다.”로 바꿔야 하는 것은 아닌지 모르겠다. 늦봄의 평화로운 풀밭에서 일어난 작은 사건을 단원 김홍도가 화폭에 옮겼다. 단원이 아니라면 이런 순간을 잡아내기도 어렵고, 또 이런 정겹고 풋풋한 정취를 담아내지 못 했을 것이다. 이처럼 단원의 그림은 단순한 사실묘사를 뛰어 넘어 대상들의 상호교감을 극대화시키고, 나아가 그림을 보는 사람을 그림 속으로 끌어들여 동화시키는 매력이 있다. 이 그림은 누군가의 환갑을 축하하기 위해 그린듯하다. 그런 내용을 따로 밝혀놓지는 않았지만, 그림의 내용이 그렇다. 예로부터 고양이는 70 노인을 상징하고 나비는 80 노인을 상징한다. 화면 중앙에 있는 패랭이꽃은 꽃말이 청춘이다. 그 옆에 자리한 바위는 불변의 상징이고, 화면 앞쪽에 있는 제비꽃은 구부러진 꽃대의 모양새가 등긁개를 닮아 여의화(如意花)라 부른다. 이런 소재들의 상징성에 주목하여 이 그림을 보면, “일흔살 여든살이 되도록 젊음을 변치 말고 장수하시고, 모든 일이 뜻하시는 대로 이루어지기 바랍니다.”라고 읽혀진다. 환갑을 맞은 분께는 더할 나위 없이 좋은 의미를 가진 그림이다. 내용만 좋은 것이 아니라 그림의 정취와 아름다움이 이토록 빼어나니, 최고의 선물이 되었을 것이다."
9,몽유도원도,안견,수묵채색화,견본담채(絹本淡彩)(ink and slight color on silk),,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F3329_000_18%2F20140923114650628_N51XP3D9R.jpg%2FKF01-001.jpg%3Ftype%3Dw690_fst_n%26wm%3DY%22&twidth=690&theight=245&opts=17,"안견(安堅)은 조선조 초기의 화단(畵壇)을 석권하였으며 한국 회화사(繪畫史)에 있어서 으뜸으로 꼽히는 최대의 거장이다. 1418년경(태종(太宗)18년)에 지곡안씨(池谷安氏) 집안에서 출생했다. 자(字)는 가도(可度) 또는 득수(得守)이며, 호(號)는 현동자(玄洞子) 또는 주경(朱耕)이라 했다. 도화서(圖畵署) 화원(畵員)을 거쳐 벼슬이 정사품(正四品)의 호군(護軍)에 이르렀다. 화원(畵員) 안견(安堅)에 대해서 당시의 기록이 그리 많지는 않으나 근 5백 년간 가장 오랜 산수화가(山水畫家)로서 작품을 전해오는 이는 안견(安堅)뿐이라 하겠다. 그는 조선 제 4대 세종대왕(世宗大王)의 3왕자인 당대 명필이던 안평대군(安平大君) 이용(李瑢)의 총애를 받아 안평대군(安平大君)의 수장품들을 감상할 수 있게 됨으로써 화안(畵眼)과 화기(畵技)를 더불어 높일 수 있었다고 하겠다. 명종(明宗)때의 성리학자(性理學者)인 조식(曹植)은 안견(安堅)에 대해서 「동국(東國)의 오도자(吳道子)」라고 칭찬했다는 기록이 있다고 했다.이 《몽유도원도(夢遊桃源圖)》는 1447년 안평대군(安平大君)이 시취(詩趣) 무르녹는 어느 날 밤 꿈 속에 노닐던 신비로운 도원경(桃源境)의 광경을 안견(安堅)에게 위탁하여 이틀 만에 그리게 한 안견(安堅) 일세 일대를 통한 불후의 대걸작품이다. 그림은 구도상 꿈이야기를 더듬어 파노라마처럼 왼편에서부터 4단계 즉 현실세계(現實世界), 도원(桃源)의 입구(入口), 중간경치, 끝으로 꿈에 배를 보았다는 도원(桃源)의 선경(仙境) 이렇게 오른편으로 전개해 나간 수묵담채(水墨淡彩)의 횡피(橫披)로서 정밀하고 섬세할 뿐 아니라, 선묘(線描)가 무한한 변화를 지니고 있다. 기상천외의 고준(高峻)한 산령과 그 속에 꽃이 만개한 도원(桃源)과 맑고 평온한 시내는 꿈의 환상세계를 지극히 성공적으로 구현했다. 화법은 이른바 북송(北宋)때의 곽희(郭熙)풍을 따랐다고 하지만 그것은 부차적인 것이고 이 작품은 곽희(郭熙)의 화풍뿐 아니라, 중국의 금(金) · 원(元) · 명(明) 때의 화법까지 광범위하게 섭렵하고 터득해서 자기의 화풍 형성에 유감없이 활용하고 있음이 역력하다 하겠다.대각(對角)으로 도원(桃源)을 전개해 나간 구도와 공간의 능숙한 처리, 평원(平原)과 고원(高原)의 대조, 그리고 수많은 선(線)이 담채(淡彩) 속에서 뛰노는 듯한 운동감을 교묘하게 충족시킨 산수(山水)의 웅장함 등은 안견(安堅) 특유의 탁월한 재능의 소산이다. 이 그림에는 안평대군(安平大君)의 자필(自筆) 제발(題跋)을 위시하여 박팽년(朴彭年) · 성삼문(成三問) · 김종서(金宗瑞) · 신숙주(申叔舟) · 최항(崔恒) · 정인지(鄭麟趾) · 윤자운(尹子雲) · 서거정(徐居正) 등 21인의 당대 제1급의 문인(文人) · 묵객(墨客) · 학자(學者) · 명신(名臣)들의 자필(自筆) 발기(跋記)가 붙어 있다."
